mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"random",0.144000,0.044000,0.080000,0.060000,2,0,1,10.580867,90,30,10,50.894718,14.080867
"random",0.144000,0,0,0.060000,2,0,1,10.588003,90,10,10,50.870117,14.088003
"random",0.108000,0.088000,0.160000,0.060000,2,0,1,10.591376,80,10,10,51.233496,14.091376
"habit",0.108000,0.176000,0.040000,0.060000,2,0.400000,1,10.595019,90,20,10,51.202977,14.095019
"habit",0.108000,0.132000,0.120000,0.060000,2,0.600000,1,10.604014,80,40,10,51.208353,14.104014
"random",0.144000,0.176000,0.160000,0.060000,2,0,1,10.604832,80,40,10,50.924012,14.104832
"habit",0.072000,0.220000,0.040000,0.060000,2,0.400000,1,10.606409,80,40,10,51.731568,14.106409
"random",0.180000,0,0.120000,0.060000,2,0,1,10.609132,90,30,10,50.734671,14.109132
"habit",0.144000,0.220000,0.040000,0.060000,2,0.800000,1,10.626062,90,20,10,50.892452,14.126062
"random",0.108000,0,0.040000,0.060000,2,0,1,10.632592,80,20,10,51.201175,14.132592
"random",0.108000,0.132000,0.160000,0.060000,2,0,1,10.633220,80,30,10,51.209639,14.133220
"random",0.072000,0.132000,0.080000,0.060000,2,0,1,10.638924,80,10,10,51.868289,14.138924
"habit",0.108000,0.088000,0.160000,0.060000,2,0.600000,1,10.675207,80,50,10,51.190919,14.175207
"habit",0.036000,0.088000,0,0.060000,9,0,1,10.675421,80,50,10,56.842610,14.175421
"habit",0.108000,0.132000,0.040000,0.060000,2,0.200000,1,10.691545,90,30,10,51.221343,14.191545
"random",0.072000,0.044000,0.040000,0.060000,2,0,1,10.756453,90,20,10,51.762499,14.256453
"random",0.180000,0.220000,0.200000,0.060000,7,0,1,14.258992,60,10,0,70.583824,14.258992
"habit",0.072000,0.088000,0.200000,0.060000,2,0.600000,1,10.763377,90,30,10,51.837834,14.263377
"habit",0.108000,0.176000,0,0.060000,14,0,1,10.952326,80,20,10,55.941432,14.452326
"habit",0.144000,0.044000,0,0.060000,12,0.600000,1,11.061526,90,80,10,53.219738,14.561526
"habit",0.180000,0.220000,0,0.060000,14,0.600000,1,11.092695,70,40,10,53.635105,14.592695
"habit",0.180000,0.088000,0.120000,0.060000,7,0,1,14.636773,50,30,0,70.747165,14.636773
"random",0.180000,0.044000,0.080000,0.060000,4,0,1,11.448116,60,20,10,54.460650,14.948116
"random",0.144000,0.176000,0.080000,0.060000,4,0,1,11.547521,80,20,10,55.907872,15.047521
"habit",0.180000,0.044000,0.200000,0.060000,4,0,1,11.600199,70,10,10,54.632225,15.100199
"random",0.072000,0.220000,0.080000,0.060000,4,0,1,11.619390,90,40,10,62.513373,15.119390
"random",0.144000,0.132000,0.040000,0.060000,4,0,1,11.627920,70,10,10,55.624754,15.127920
"habit",0.180000,0.132000,0.160000,0.060000,4,0.200000,1,11.642795,70,10,10,54.566857,15.142795
"random",0.144000,0,0,0.060000,4,0,1,11.677202,60,10,10,55.668724,15.177202
"habit",0.144000,0.132000,0.160000,0.060000,4,0,1,11.745708,70,40,10,55.604826,15.245708
"random",0.072000,0,0.160000,0.060000,4,0,1,11.771542,70,30,10,61.945932,15.271542
"random",0.108000,0.220000,0.080000,0.060000,4,0,1,11.789871,90,50,10,57.875479,15.289871
"random",0.072000,0,0.160000,0.060000,7,0,1,15.291759,60,30,0,146.355001,15.291759
"random",0.180000,0.132000,0.160000,0.060000,4,0,1,11.793471,70,10,10,54.802993,15.293471
"random",0.144000,0.176000,0.040000,0.060000,4,0,1,11.798518,80,20,10,55.835703,15.298518
"habit",0.180000,0.176000,0.120000,0.060000,4,0.200000,1,11.801606,70,50,10,54.622206,15.301606
"random",0.180000,0.220000,0.080000,0.060000,4,0,1,11.820809,70,20,10,54.548195,15.320809
"random",0.108000,0.088000,0.040000,0.060000,4,0,1,11.843177,80,50,10,57.944849,15.343177
"habit",0.180000,0.088000,0.200000,0.060000,7,0.400000,1,15.343659,80,10,0,70.909139,15.343659
"random",0.180000,0.088000,0.040000,0.060000,9,0,1,15.390637,50,20,0,97.155941,15.390637
"random",0.108000,0,0.080000,0.060000,4,0,1,11.905741,80,20,10,57.776875,15.405741
"habit",0.072000,0.176000,0.120000,0.060000,4,0.800000,1,11.905947,80,10,10,62.016395,15.405947
"habit",0.180000,0.176000,0.160000,0.060000,4,0.400000,1,11.949586,70,20,10,54.571157,15.449586
"habit",0.180000,0,0.080000,0.060000,4,0.400000,1,11.991847,80,20,10,54.647270,15.491847
"habit",0.180000,0.220000,0.200000,0.060000,4,0.800000,1,12.006825,70,20,10,54.688021,15.506825
"random",0.108000,0,0,0.060000,4,0,1,12.026901,80,0,10,57.964291,15.526901
"habit",0.108000,0.220000,0.080000,0.060000,4,1,1,12.063986,90,60,10,57.756759,15.563986
"habit",0.144000,0.044000,0.200000,0.060000,4,1,1,12.079296,80,30,10,55.835223,15.579296
"habit",0.180000,0.088000,0.160000,0.060000,4,0,1,12.122004,70,10,10,54.674605,15.622004
"random",0.144000,0.176000,0.040000,0.060000,12,0,1,12.234892,50,20,10,74.063355,15.734892
"habit",0.108000,0.044000,0.040000,0.060000,4,0,1,12.261093,80,50,10,57.690929,15.761093
"habit",0.180000,0.176000,0.200000,0.060000,4,0.600000,1,12.293017,80,30,10,54.738548,15.793017
"habit",0.108000,0.044000,0.200000,0.060000,4,0.800000,1,12.309392,80,30,10,58.267288,15.809392
"habit",0.108000,0.132000,0.040000,0.060000,4,0.400000,1,12.331892,80,10,10,57.870325,15.831892
"random",0.144000,0.220000,0.040000,0.060000,7,0,1,12.355978,60,10,10,72.534325,15.855978
"habit",0.144000,0.176000,0.200000,0.060000,4,0.400000,1,12.395695,90,50,10,55.908548,15.895695
"random",0.144000,0.220000,0.160000,0.060000,4,0,1,12.411294,80,20,10,55.935148,15.911294
