mode,forgetfulness,tiredness,recovery,intensity,groupSize,propensity,repeats,runaway,top5SharePct,top10Stability1Pct,top10Stability10Pct,top10Stability20Pct,totalPower,oligarchyScore
"habit",0.500000,0.500000,0,0.180000,7,0,1,0,10.408013,30,40,10,50.969831,13.908013
"random",0.500000,0.100000,0,0.180000,7,0,1,0,10.442393,30,0,10,50.970375,13.942393
"habit",0.100000,0.100000,0,0.180000,4,0.600000,1,0,10.446915,90,30,10,51.162486,13.946915
"random",0.100000,0.500000,0.160000,0.180000,4,0,1,0,13.976563,70,0,0,84.315268,13.976563
"habit",0.200000,0.300000,0.040000,0.180000,4,0.200000,1,0,14.001978,70,20,0,62.373474,14.001978
"random",0.300000,0.500000,0,0.180000,7,0,1,0,10.529273,40,20,10,51.488999,14.029273
"random",0.400000,0.400000,0,0.180000,7,0,1,0,10.544386,50,50,10,51.164845,14.044386
"habit",0.200000,0.400000,0.040000,0.180000,4,0.400000,1,0,14.065340,70,20,0,61.440544,14.065340
"random",0.500000,0.200000,0,0.180000,7,0,1,0,10.576815,60,20,10,50.973817,14.076815
"random",0.400000,0.300000,0,0.180000,9,0,1,0,10.588540,30,30,10,52.012884,14.088540
"habit",0.400000,0.200000,0,0.180000,7,0.400000,1,0,10.598266,50,10,10,51.167369,14.098266
"habit",0.500000,0.200000,0.160000,0.180000,4,0,1,0,14.124515,60,20,0,55.767455,14.124515
"random",0.200000,0.300000,0,0.180000,7,0,1,0,10.635407,70,20,10,52.162530,14.135407
"habit",0.100000,0.500000,0,0.180000,7,0.400000,1,0,10.688350,70,30,10,54.290153,14.188350
"random",0.300000,0.200000,0,0.180000,7,0,1,0,10.692388,50,40,10,51.496616,14.192388
"random",0.200000,0.200000,0.080000,0.180000,4,0,1,0,14.200565,60,20,0,64.102489,14.200565
"random",0.400000,0.500000,0.080000,0.180000,14,0,1,0,14.205423,10,10,0,98.109961,14.205423
"habit",0.400000,0.500000,0,0.180000,9,0,1,0,10.716848,40,20,10,52.015058,14.216848
"random",0.500000,0,0.200000,0.180000,4,0,1,0,14.221450,60,10,0,55.810801,14.221450
"random",0.300000,0.200000,0.200000,0.180000,4,0,1,0,14.235481,70,20,0,59.324199,14.235481
"habit",0.400000,0.300000,0.160000,0.180000,4,0,1,0,14.249278,70,20,0,57.098790,14.249278
"random",0.500000,0.400000,0,0.180000,9,0,1,0,10.765311,50,30,10,51.683372,14.265311
"habit",0.500000,0.500000,0,0.180000,9,0.200000,1,0,10.838968,50,20,10,51.684143,14.338968
"random",0.300000,0.100000,0,0.180000,9,0,1,0,10.851770,50,0,10,52.591990,14.351770
"random",0.300000,0.500000,0,0.180000,9,0,1,0,10.873393,50,10,10,52.612231,14.373393
"habit",0.400000,0.400000,0.160000,0.180000,4,0.200000,1,0,14.373786,60,20,0,56.963887,14.373786
"habit",0.300000,0.400000,0,0.180000,9,0.800000,1,0,10.898672,70,0,10,52.625048,14.398672
"habit",0.100000,0.300000,0,0.180000,7,0,1,0,10.940012,70,50,10,54.291747,14.440012
"random",0.500000,0.500000,0.040000,0.180000,2,0,1,0,10.946472,90,20,10,50.792056,14.446472
"habit",0.200000,0.200000,0,0.180000,9,0.200000,1,0,10.960628,60,30,10,53.813468,14.460628
"habit",0.400000,0.400000,0.120000,0.180000,4,0,1,0,14.478096,60,30,0,56.845277,14.478096
"random",0.500000,0.500000,0,0.180000,12,0,1,0,10.980508,30,0,10,53.138781,14.480508
"habit",0.500000,0.300000,0,0.180000,12,0,1,0,11.053537,20,30,10,53.148231,14.553537
"habit",0.500000,0.100000,0.120000,0.180000,2,0.600000,1,0,11.085540,80,0,10,50.918311,14.585540
"random",0.500000,0.200000,0.160000,0.180000,2,0,1,0,11.085615,80,20,10,50.918352,14.585615
"random",0.500000,0.100000,0.080000,0.180000,2,0,1,0,11.087009,80,10,10,50.915827,14.587009
"habit",0.500000,0.400000,0.080000,0.180000,2,1,1,0,11.090342,80,30,10,50.910575,14.590342
"habit",0.500000,0.200000,0.120000,0.180000,2,0.800000,1,0,11.097128,80,20,10,50.919202,14.597128
"habit",0.500000,0.400000,0,0.180000,12,0.200000,1,0,11.100074,30,30,10,53.150264,14.600074
"habit",0.500000,0.300000,0.120000,0.180000,2,1,1,0,11.104741,80,10,10,50.916956,14.604741
"random",0.400000,0.400000,0,0.180000,12,0,1,0,11.117062,40,40,10,53.786948,14.617062
"random",0.400000,0.500000,0.040000,0.180000,2,0,1,0,11.121633,80,20,10,51.081126,14.621633
"random",0.400000,0.400000,0.120000,0.180000,2,0,1,0,11.122868,80,20,10,51.093240,14.622868
"random",0.400000,0.200000,0.080000,0.180000,2,0,1,0,11.125697,80,30,10,51.093098,14.625697
"random",0.300000,0.500000,0.040000,0.180000,2,0,1,0,11.128122,80,0,10,51.335002,14.628122
"random",0.300000,0.200000,0,0.180000,9,0,1,0,11.129937,70,10,10,52.614911,14.629937
"random",0.400000,0.500000,0.200000,0.180000,2,0,1,0,11.129992,80,30,10,51.094264,14.629992
"habit",0.500000,0,0.080000,0.180000,2,0.200000,1,0,11.136074,80,40,10,50.920757,14.636074
"random",0.300000,0.400000,0.200000,0.180000,2,0,1,0,11.140507,80,20,10,51.394190,14.640507
"habit",0.500000,0.400000,0.200000,0.180000,2,0.400000,1,0,11.143962,80,50,10,50.911436,14.643962
"random",0.500000,0.500000,0.160000,0.180000,2,0,1,0,11.144249,90,20,10,50.873177,14.644249
"habit",0.400000,0.400000,0.080000,0.180000,2,0.800000,1,0,11.144901,80,30,10,51.086218,14.644901
"random",0.300000,0.300000,0.040000,0.180000,2,0,1,0,11.145956,80,0,10,51.386238,14.645956
"habit",0.300000,0.100000,0.040000,0.180000,2,1,1,0,11.147574,80,0,10,51.394585,14.647574
"random",0.400000,0.200000,0.200000,0.180000,2,0,1,0,11.151466,80,30,10,51.098557,14.651466
"habit",0.500000,0.200000,0.040000,0.180000,2,0.400000,1,0,11.151658,90,30,10,50.900973,14.651658
"habit",0.400000,0.500000,0.120000,0.180000,2,0,1,0,11.151696,80,10,10,51.091272,14.651696
"habit",0.300000,0.500000,0.040000,0.180000,2,0.600000,1,0,11.153784,80,20,10,51.348158,14.653784
"random",0.300000,0.300000,0.120000,0.180000,2,0,1,0,11.163439,80,20,10,51.396604,14.663439
"habit",0.200000,0.300000,0,0.180000,9,0.400000,1,0,11.172739,70,20,10,53.836865,14.672739
"random",0.300000,0.100000,0.040000,0.180000,2,0,1,0,11.179690,80,20,10,51.394940,14.679690
"random",0.400000,0.100000,0.080000,0.180000,2,0,1,0,11.179846,80,40,10,51.102107,14.679846
"random",0.400000,0,0.160000,0.180000,2,0,1,0,11.180943,80,30,10,51.100608,14.680943
"habit",0.400000,0.400000,0.160000,0.180000,2,0,1,0,11.182004,80,10,10,51.095660,14.682004
"random",0.400000,0.400000,0.200000,0.180000,2,0,1,0,11.191347,80,30,10,51.094481,14.691347
"habit",0.300000,0.400000,0.080000,0.180000,2,0.600000,1,0,11.195376,80,20,10,51.390290,14.695376
"random",0.200000,0.100000,0.200000,0.180000,2,0,1,0,11.197779,80,10,10,52.027223,14.697779
"habit",0.300000,0.400000,0.160000,0.180000,2,1,1,0,11.203201,80,10,10,51.405320,14.703201
"habit",0.500000,0.300000,0.200000,0.180000,2,0.200000,1,0,11.205342,90,0,10,50.926336,14.705342
"habit",0.300000,0.400000,0.120000,0.180000,2,0.800000,1,0,11.211915,80,30,10,51.399230,14.711915
"habit",0.400000,0.300000,0.200000,0.180000,2,0,1,0,11.212522,80,20,10,51.104747,14.712522
"habit",0.200000,0.400000,0.040000,0.180000,2,0.200000,1,0,11.213840,80,10,10,51.977959,14.713840
"random",0.200000,0.500000,0.040000,0.180000,2,0,1,0,11.214167,80,30,10,51.878154,14.714167
"habit",0.300000,0.300000,0.040000,0.180000,2,0.200000,1,0,11.218207,80,10,10,51.376553,14.718207
"habit",0.300000,0.300000,0.080000,0.180000,2,0.400000,1,0,11.223017,80,10,10,51.396791,14.723017
"habit",0.400000,0.500000,0.080000,0.180000,2,1,1,0,11.223288,80,30,10,51.056824,14.723288
"random",0.300000,0.300000,0.200000,0.180000,2,0,1,0,11.223994,80,30,10,51.415880,14.723994
"habit",0.400000,0.400000,0,0.180000,12,0,1,0,11.227738,60,20,10,53.813781,14.727738
"habit",0.100000,0.200000,0.200000,0.180000,2,0.400000,1,0,11.228515,80,20,10,53.987289,14.728515
"habit",0.300000,0.200000,0.080000,0.180000,2,0.200000,1,0,11.236473,80,30,10,51.400823,14.736473
"habit",0.500000,0.100000,0.080000,0.180000,2,0.400000,1,0,11.240913,80,20,10,50.929348,14.740913
"random",0.400000,0.500000,0.120000,0.180000,2,0,1,0,11.243188,90,30,10,51.075822,14.743188
"habit",0.300000,0.200000,0.120000,0.180000,2,0.400000,1,0,11.244211,80,20,10,51.402266,14.744211
"habit",0.200000,0.400000,0.080000,0.180000,2,0.400000,1,0,11.249544,80,10,10,52.019779,14.749544
"random",0.400000,0.200000,0.120000,0.180000,4,0,1,0,14.766122,60,30,0,57.251963,14.766122
"habit",0.300000,0.300000,0.120000,0.180000,2,0.600000,1,0,11.274136,80,10,10,51.405877,14.774136
"random",0.400000,0.300000,0.120000,0.180000,2,0,1,0,11.278973,90,30,10,51.086634,14.778973
"habit",0.400000,0.100000,0.040000,0.180000,2,0,1,0,11.281756,80,30,10,51.111339,14.781756
"habit",0.300000,0.500000,0.120000,0.180000,2,1,1,0,11.283835,80,20,10,51.381831,14.783835
"random",0.200000,0.400000,0.120000,0.180000,2,0,1,0,11.291722,80,20,10,52.021488,14.791722
"habit",0.500000,0.400000,0.160000,0.180000,4,0.400000,1,0,14.797720,80,20,0,55.702869,14.797720
"random",0.200000,0.300000,0.160000,0.180000,2,0,1,0,11.301150,80,20,10,52.036486,14.801150
"habit",0.400000,0.500000,0.200000,0.180000,2,0.400000,1,0,11.307371,90,30,10,51.103849,14.807371
"random",0.100000,0.400000,0,0.180000,9,0,1,0,11.308493,70,30,10,57.793036,14.808493
"habit",0.300000,0.100000,0,0.180000,12,0.400000,1,0,11.315235,40,30,10,54.959393,14.815235
"habit",0.300000,0.500000,0.160000,0.180000,2,0,1,0,11.317717,90,10,10,51.373849,14.817717
"habit",0.100000,0.100000,0.080000,0.180000,2,0.800000,1,0,11.318793,80,50,10,54.028507,14.818793
"habit",0.300000,0.100000,0.160000,0.180000,2,0.400000,1,0,11.319729,80,20,10,51.411225,14.819729
"habit",0.200000,0.200000,0.160000,0.180000,2,0.400000,1,0,11.321994,80,30,10,52.049009,14.821994
"random",0.300000,0.200000,0.160000,0.180000,2,0,1,0,11.335976,80,30,10,51.409649,14.835976
"habit",0.200000,0.300000,0.160000,0.180000,2,0.600000,1,0,11.339400,80,10,10,52.038014,14.839400
"habit",0.200000,0.500000,0.160000,0.180000,4,0,1,0,14.840903,60,30,0,64.096392,14.840903
"random",0.200000,0.300000,0.040000,0.180000,2,0,1,0,11.343353,90,20,10,51.974453,14.843353
"habit",0.200000,0.500000,0.120000,0.180000,2,0.800000,1,0,11.346185,80,20,10,52.026703,14.846185
"random",0.500000,0.200000,0,0.180000,14,0,1,0,11.360282,50,10,10,54.388050,14.860282
"random",0.300000,0.300000,0.080000,0.180000,2,0,1,0,11.363678,90,30,10,51.402701,14.863678
"random",0.300000,0,0.040000,0.180000,2,0,1,0,11.370724,80,10,10,51.409993,14.870724
"habit",0.500000,0,0.200000,0.180000,2,0.800000,1,0,11.380565,100,10,10,50.943165,14.880565
"habit",0.400000,0.500000,0,0.180000,12,0.200000,1,0,11.391762,60,40,10,53.834909,14.891762
"habit",0.300000,0,0.080000,0.180000,2,1,1,0,11.407139,90,20,10,51.429036,14.907139
"random",0.200000,0.100000,0,0.180000,14,0,1,0,11.415428,50,10,10,60.524289,14.915428
"habit",0.200000,0.300000,0.120000,0.180000,2,0.400000,1,0,11.421042,80,40,10,52.069990,14.921042
"random",0.400000,0,0.040000,0.180000,2,0,1,0,11.427387,100,30,10,51.130728,14.927387
"habit",0.500000,0,0.160000,0.180000,2,0.600000,1,0,11.438048,90,30,10,50.960364,14.938048
"random",0.200000,0.500000,0.120000,0.180000,2,0,1,0,11.443614,90,0,10,52.018871,14.943614
"habit",0.500000,0.100000,0,0.180000,12,0.800000,1,0,11.462356,50,30,10,53.230486,14.962356
"random",0,0.400000,0.080000,0.180000,12,0,1,0,14.968560,40,20,0,1.7484849259900198e+73,14.968560
"habit",0.200000,0.100000,0.200000,0.180000,2,0.400000,1,0,11.479882,80,40,10,52.057357,14.979882
"habit",0.300000,0.400000,0,0.180000,14,0,1,0,11.500412,40,10,10,56.955204,15.000412
"random",0.300000,0,0.200000,0.180000,2,0,1,0,11.525255,90,30,10,51.445833,15.025255
