groupSize,tiredness,forgetfulness,intensity,propensity,repeats,runaway,totalPower,log10TotalPower,top5SharePct,top10Stability20Pct,topBottomRatio,log10TopBottomRatio,oligarchyScore
2,0,0.200000,0.044000,0,1,0,50.488550,1.703193,10.347275,30,1.044837,0.019049,21.075858
2,0,0.200000,0.044000,0.200000,1,0,50.487245,1.703182,10.283383,30,1.038359,0.016348,20.979553
2,0,0.200000,0.044000,0.400000,1,0,50.487868,1.703187,10.309575,40,1.041017,0.017458,24.519069
2,0,0.200000,0.044000,0.600000,1,0,50.489771,1.703203,10.320678,10,1.042176,0.017941,14.035972
2,0,0.200000,0.044000,0.800000,1,0,50.491047,1.703214,10.427344,30,1.052974,0.022418,21.196358
2,0,0.200000,0.044000,1,1,0,50.491291,1.703216,10.433036,30,1.053554,0.022657,21.204916
2,0,0.200000,0.078000,0,1,0,50.868469,1.706449,10.585083,0,1.076894,0.032173,10.971158
2,0,0.200000,0.078000,0.200000,1,0,50.869109,1.706454,10.632972,30,1.081778,0.034138,21.542631
2,0,0.200000,0.078000,0.400000,1,0,50.880228,1.706549,10.826786,10,1.101734,0.042077,14.831708
2,0,0.200000,0.078000,0.600000,1,0,50.870075,1.706462,10.600746,0,1.078521,0.032829,10.994689
2,0,0.200000,0.078000,0.800000,1,0,50.865947,1.706427,10.504467,30,1.068638,0.028831,21.350437
2,0,0.200000,0.078000,1,1,0,50.876890,1.706521,10.698102,20,1.088572,0.036857,18.140387
2,0,0.200000,0.112000,0,1,0,51.254665,1.709733,10.759738,30,1.102973,0.042565,21.770519
2,0,0.200000,0.112000,0.200000,1,0,51.280990,1.709956,11.134470,20,1.141973,0.057656,18.826341
2,0,0.200000,0.112000,0.400000,1,0,51.258533,1.709766,10.927420,20,1.120247,0.049314,18.519185
2,0,0.200000,0.112000,0.600000,1,0,51.247711,1.709674,10.764751,0,1.103338,0.042708,11.277252
2,0,0.200000,0.112000,0.800000,1,0,51.277985,1.709931,11.103474,10,1.138727,0.056420,15.280512
2,0,0.200000,0.112000,1,1,0,51.252620,1.709716,10.794951,30,1.106539,0.043967,21.822551
2,0,0.200000,0.146000,0,1,0,51.648076,1.713054,11.182188,30,1.155077,0.062611,22.433518
2,0,0.200000,0.146000,0.200000,1,0,51.662721,1.713177,11.140048,30,1.151050,0.061094,22.373179
2,0,0.200000,0.146000,0.400000,1,0,51.664168,1.713189,11.349397,10,1.172706,0.069189,15.679668
